id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1130514513185764605,Apartamento completo vip”solo para los huéspedes”,420208773,Ivan,,Fingal,53.45181,-6.19856,Entire home/apt,,1,2,2024-08-30,0.20,1,229,2,
1130992472839085170,Lowry’s House,84284224,Jaclyn,,Fingal,53.47307379999999,-6.2407672,Entire home/apt,210,2,2,2025-05-18,1.13,1,60,2,
1131012104069225034,Beside the Guinness brewery,61823992,Melissa,,Dublin City,53.34457,-6.28279,Private room,130,1,23,2025-06-11,1.70,2,102,22,
1131207295280391522,Lovely Home on the River,422743428,Trudi,,Dublin City,53.3444523,-6.2273716,Private room,86,3,30,2025-05-30,2.24,2,55,24,
1131224781750921402,Cosy Corner in Dublin,27000024,Prachi,,Fingal,53.41911,-6.15096,Private room,63,1,19,2025-05-05,1.38,1,78,10,
1131261562616175306,Stunning townhouse in Dublin 4,18152416,Fat Cat,,Dublin City,53.33982,-6.23306,Entire home/apt,252,15,11,2025-05-15,0.90,2,279,11,
1131676455086636551,Brand New Spacious Studio in Dublin,538062415,Liam,,South Dublin,53.29636,-6.30086,Entire home/apt,112,1,26,2025-06-02,2.03,1,197,23,
1132021062776943358,Room Near City by Sea,558548606,Amanda,,Dn Laoghaire-Rathdown,53.3000797,-6.1766736,Private room,66,2,35,2025-06-02,2.68,1,30,31,
1132024733988342911,Modern apartment in Dublin City,241633654,Francois,,Dublin City,53.33811,-6.25173,Entire home/apt,466,1,53,2025-06-10,3.91,3,181,47,
1132439200158885917,"Large home, Dublin City Centre",149728620,Marie,,Dublin City,53.355900689680595,-6.233927854227667,Entire home/apt,480,2,33,2025-06-12,2.80,1,211,33,
1132445597561095569,Coolvally-Daffodil historical 1.1 acres garden,278036389,Qingyan,,Dn Laoghaire-Rathdown,53.2409208,-6.1216256,Private room,,1,22,2024-10-07,1.60,4,0,17,
1132489512694967314,Large family home Mount Merrion,2061049,Giustina,,Dn Laoghaire-Rathdown,53.29208,-6.216,Entire home/apt,,1,0,,,1,0,0,
1132652024162073156,Sammy's Suburban Sanctuary,62059815,Judith,,Fingal,53.37661196736639,-6.402120441198349,Private room,99,1,10,2025-05-04,0.73,1,167,5,
1132682607419534526,"No.2 The Kingfisher. Family Room, (Dbl & Sgl) 3ppl",60193864,Gillian,,Dublin City,53.352048881339634,-6.264373954101639,Private room,120,2,81,2025-06-08,7.23,12,278,81,
1133241701330015955,Home - Central Dublin!,567317763,Saajan,,Dublin City,53.3908969,-6.2173488,Entire home/apt,423,1,36,2025-06-10,3.03,1,319,36,
1133285418996486625,Cosy modern room close to Dublin City,19562192,Niamh,,South Dublin,53.29976,-6.32877,Private room,69,2,0,,,2,161,0,
1133388413553539221,Perfect Dublin base,4500188,James,,Dublin City,53.33754,-6.22748,Entire home/apt,288,4,3,2024-08-25,0.26,1,83,3,
1133408307938510530,Private Room In Swords,244170542,Marie-Anne,,Fingal,53.46259362619407,-6.235199676721197,Private room,70,1,55,2025-05-13,4.04,1,43,42,
1133456991596246838,A double bedroom in a 2 Bedroom Apartment,571984175,Zee,,Dn Laoghaire-Rathdown,53.26659,-6.14719,Private room,54,1,107,2025-06-03,7.62,1,67,88,
1133488810746622567,Dublin City Oasis - Double bedroom,4257064,Adam,,Dublin City,53.35937,-6.24717,Private room,95,5,11,2025-05-19,0.79,2,5,8,
1134065089887985937,Studio apartment available,483120944,Junaid,,South Dublin,53.3524682197688,-6.41367884795231,Entire home/apt,108,1,30,2025-06-02,2.14,1,13,22,
1134516767514253509,Family stay in Dublin,67741703,Ricardo,,Dublin City,53.37982333195285,-6.208643211652135,Entire home/apt,,10,0,,,1,0,0,
1134908424186146814,Tranquil Glade Haven,108667069,Ogun,,South Dublin,53.26967,-6.34545,Private room,179,1,0,,,2,365,0,
1134908929703414027,Exclusive Georgian Townhouse,11500908,Meagan,,Dublin City,53.34171,-6.25789,Entire home/apt,1102,2,67,2025-06-05,4.94,1,269,59,
1135253441713166791,Full apartment in Dundrum,438066103,Maly,,Dn Laoghaire-Rathdown,53.286383825240115,-6.2457856163778525,Entire home/apt,164,2,0,,,1,364,0,
1135368356489034608,"Spacious townhouse in Kimmage, Dublin 12",530063575,Siobhan,,Dublin City,53.32174,-6.29761,Entire home/apt,283,2,19,2025-04-28,1.38,1,22,14,
1135454720221252150,The Lookout by Dublin At Home,162402361,Ian,,Dn Laoghaire-Rathdown,53.28284,-6.1055,Entire home/apt,226,14,0,,,84,308,0,
1135454974403776494,The Lookout by Dublin At Home,162402361,Ian,,Dn Laoghaire-Rathdown,53.28366,-6.10546,Entire home/apt,226,14,0,,,84,273,0,
1135536888692386209,Central 2 bed with Balcony,177833932,Anna,,Dublin City,53.34388,-6.27,Entire home/apt,,4,2,2024-11-19,0.27,213,250,2,
1135555804185417208,Cozy in Cabinteely,572477610,H,,Dn Laoghaire-Rathdown,53.26425,-6.15585,Entire home/apt,110,1,0,,,1,268,0,
1135587377769820683,The Cornerstone One by Dublin At Home,162402361,Ian,,Dn Laoghaire-Rathdown,53.28930469999999,-6.1974293,Entire home/apt,127,10,1,2024-05-16,0.08,84,308,0,
1135587565783028413,The Cornerstone Two by Dublin At Home,162402361,Ian,,Dn Laoghaire-Rathdown,53.2892789,-6.211379099999999,Entire home/apt,165,10,4,2024-11-11,0.34,84,190,4,
1135592050224430971,Entire home - In the heart of Ballycullen,108667069,Ogun,,South Dublin,53.2692278,-6.3466302,Entire home/apt,,1,0,,,2,0,0,
1135595574872236319,3bed 3bath Liffey river view,572492296,Ibra,,Dublin City,53.34416,-6.22821,Entire home/apt,250,3,38,2025-05-26,3.02,1,237,35,
1136022163731971901,Luxury House Just 2 minutes Walk Dublin Castle,210886511,Trevor,,Dublin City,53.34177721293214,-6.27416230738163,Entire home/apt,246,3,49,2025-06-04,3.61,1,53,41,
1136203236697236823,Shared male room,572632147,Cauan,,Fingal,53.45614890242851,-6.221872107627582,Private room,26,7,0,,,3,181,0,
1136223961708107606,"Elegant, Spacious Family home",485346626,Juliet,,Dublin City,53.32152,-6.21488,Entire home/apt,585,3,2,2024-12-31,0.18,1,37,2,
